FROM_LOINC	FROM_UNIT	TO_LOINC	TO_UNIT	FACTOR
53553-4	mmol/L	27353-2	mg/dL	18.02
70209-2	mol/L	4542-7	mg/dL	0.0000001
4635-9	mg/dL	721-1	mg/L	10
20448-7	u[IU]/mL	14796-7	pmol/L	5.988023952
25447-4	pmol/L	6901-3	u[IU]/mL	0.167377522
14798-3	umol/L	2498-4	ug/dL	5.585
14800-7	umol/L	2500-7	ug/dL	5.585
22753-8	umol/L	2501-5	ug/dL	5.585
14802-3	mmol/L	5669-7	mg/dL	6.01
25458-1	umol/L	6948-4	ug/mL	0.2561
25459-9	umol/L	10912-4	ug/dL	20.72
14807-2	umol/L	5671-3	ug/dL	20.72
14812-2	umol/L	3714-3	ug/mL	0.2343
14334-7	mol/L	3719-2	ug/mL	6940
19123-9	mg/dL	2601-3	mmol/L	0.411353353
25170-2	nmol/L	5685-3	ng/mL	0.2006
19049-6	ug/(24.h)	11140-1	umol/(24.h)	0.005070994
49700-8	nmol/L	38494-1	pg/mL	197.2
71791-8	umol/L	19050-4	ng/mL	0.0001972
14833-8	umol/(24.h)	2609-6	ug/(24.h)	197.2
14835-3	mmol/L	5693-7	mg/dL	3.204
70210-0	nmol/L	16251-1	ng/mL	0.2853
70211-8	umol/L	23905-3	ug/mL	3.122073057
70212-6	umol/L	35622-0	ng/mL	0.0002707
70213-4	umol/L	16228-9	ng/mL	0.0002707
14854-4	nmol/(24.h)	2668-2	ug/(24.h)	0.1692
14853-6	nmol/L	2667-4	ug/mL	5910.165485
25964-8	nmol/L	21422-1	ug/mL	5458.515284
15083-9	umol/(24.h)	2671-6	ug/(24.h)	183.2
25489-6	nmol/L	2669-0	pg/mL	1832
15086-2	umol/L	2700-3	ug/mL	0.08802
14826-7	umol/(24.h)	2701-1	mg/(24.h)	0.08802
70214-2	umol/L	16201-6	ng/mL	0.0002867
35331-8	ug/mL	25726-1	nmol/L	0.0002523
70215-9	umol/L	16249-5	ng/mL	0.0003154
14866-8	pmol/L	2731-8	pg/mL	9.425
14874-2	umol/L	3948-7	ug/mL	0.2322
14877-5	umol/L	3968-5	ug/mL	0.2523
32109-1	umol/L	3969-3	ug/mL	0.2523
14881-7	mmol/(24.h)	2779-7	mg/(24.h)	30.97
14879-1	mmol/L	2777-1	mg/dL	3.097
13539-2	mmol/L	2778-9	mg/dL	3.097
25507-5	nmol/L	2837-3	ng/dL	31.65
14890-8	nmol/L	2839-9	ng/mL	0.3145
59960-5	umol/L	3545-1	ng/mL	0.0003395
15093-8	nmol/L	2892-8	ug/dL	17.77145904
71797-5	umol/dL	2895-1	ug/dL	624
39786-9	nmol/L	2900-9	ng/mL	0.1692
14905-4	umol/L	2923-1	ug/mL	0.2865
70216-7	mmol/L	35597-4	ug/mL	137.1
14909-6	mmol/L	4024-6	mg/dL	13.71
25521-6	umol/L	5724-0	ng/mL	78.97
14913-8	nmol/L	2986-8	ng/dL	28.84
70240-7	pmol/L	2991-8	pg/mL	3.46740638
